time_index,tx_controls_0,battery_0,magnetometer_0,tx_controls_4,servos_3,servos_5,servos_2,servos_4,mode_1,time_actual,magnetometer_2,global_position_latitude,velocity_z,position_z,attitude_pitch,velocity_x,servos_0,tx_controls_7,mode_2,attitude_roll,axis_rate_roll,wind_y,global_position_longitude,tx_controls_1,velocity_y,mode_0,axis_rate_yaw,attitude_yaw,position_x,tx_controls_3,tx_controls_5,altitude_gps,acceleration_x,position_y,servos_6,servos_1,wind_x,time_flight,airspeed_0,altitude_baro,tx_controls_2,acceleration_y,tx_controls_6,magnetometer_1,acceleration_z,gps_sat_count_0,axis_rate_pitch,current_0,servos_7,rpm_1,rpm_0,battery_1,current_1,current_3,airspeed_1,current_2
0.0,1500.0,20.997539520263672,88.0,0.0,0.0,0.0,0.0,0.0,0.0,7.335192999999999,498.0,39.8421441,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-9.857953124903849e-05,0.0,-105.21264869999999,1500.0,0.0,0.0,5.915665636615515e-05,0.0,0.0,1500.0,0.0,1811.3400000000001,1.142864465713501,0.0,0.0,0.0,0.0,7.354189,0.0,-1.2341408729553223,0.0,-0.15467819571495056,0.0,-71.0,-9.16388988494873,18.0,-7.161926767441608e-06,-0.7506400942802429,0.0,,,,,,,
0.1000160000000001,1500.0,20.997539520263672,89.0,0.0,0.0,0.0,0.0,0.0,0.0,7.414726,503.0,39.8421441,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,0.0001266190951459309,0.0,-105.21264869999999,1500.0,0.0,0.0,-4.2743926487854345e-05,0.0,0.0,1500.0,0.0,1811.3400000000001,1.1548006534576416,0.0,0.0,0.0,0.0,7.454205,0.0,-1.2448725700378418,0.0,-0.2099970579147339,0.0,-72.0,-9.162053108215332,18.0,9.357427488700452e-06,-0.7506400942802429,0.0,,,,,,,
0.20001399999999947,1500.0,20.992650985717773,90.0,0.0,0.0,0.0,0.0,0.0,0.0,7.535698999999999,505.0,39.8421429,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-7.578922625881782e-05,0.0,-105.2126481,1500.0,0.0,0.0,2.427375522632187e-06,0.0,0.0,1500.0,0.0,1811.21,1.155683994293213,0.0,0.0,0.0,0.0,7.554202999999999,0.0,-1.2770675420761108,0.0,-0.0949307456612587,0.0,-72.0,-9.152517318725586,18.0,2.540300556571851e-05,-0.7494221329689026,0.0,,,,,,,
0.3001269999999998,1500.0,20.996490478515625,88.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6146959999999995,501.0,39.8421429,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-3.602047690538242e-05,0.0,-105.2126481,1500.0,0.0,0.0,8.152647527001395e-08,0.0,0.0,1500.0,0.0,1811.21,1.1414697170257568,0.0,0.0,0.0,0.0,7.654316,0.0,-1.3038966655731201,0.0,-0.22636684775352478,0.0,-73.0,-9.172419548034668,18.0,7.353726502702193e-06,-0.7506400942802429,0.0,,,,,,,
0.4000159999999999,1500.0,20.993349075317383,89.0,0.0,0.0,0.0,0.0,0.0,0.0,7.735208,501.0,39.8421421,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,3.7516619479694265e-05,0.0,-105.2126481,1500.0,0.0,0.0,-2.437938349917929e-05,0.0,0.0,1500.0,0.0,1811.05,1.2042014598846436,0.0,0.0,0.0,0.0,7.754205,0.0,-1.2502384185791016,0.0,-0.1247437372803688,0.0,-72.0,-9.139350891113281,18.0,1.1793874881275927e-05,-0.7561178803443909,0.0,,,,,,,
0.5000330000000002,1500.0,20.988113403320312,88.0,0.0,0.0,0.0,0.0,0.0,0.0,7.814207,502.0,39.8421421,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-6.286993256282301e-05,0.0,-105.2126481,1500.0,0.0,0.0,3.281201106942568e-05,0.0,0.0,1500.0,0.0,1811.05,1.1362907886505127,0.0,0.0,0.0,0.0,7.854222,0.0,-1.1965800523757935,0.0,-0.2176114320755005,0.0,-71.0,-9.187713623046875,18.0,-6.687132514164703e-07,-0.7533794641494751,0.0,,,,,,,
0.600009,1500.0,20.992650985717773,91.0,0.0,0.0,0.0,0.0,0.0,0.0,7.935185,503.0,39.842141399999996,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,9.69649329469193e-05,0.0,-105.2126481,1500.0,0.0,0.0,-1.6486172429541346e-05,0.0,0.0,1500.0,0.0,1810.8700000000001,1.1648424863815308,0.0,0.0,0.0,0.0,7.954198,0.0,-1.207311749458313,0.0,-0.18208357691764832,0.0,-72.0,-9.166854858398438,18.0,1.6666405968737728e-05,-0.7509440779685974,0.0,,,,,,,
0.7000829999999993,1500.0,20.99230194091797,91.0,0.0,0.0,0.0,0.0,0.0,0.0,8.014268999999999,498.0,39.842141399999996,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-5.2652790787381226e-05,0.0,-105.2126481,1500.0,0.0,0.0,1.011255024418151e-05,0.0,0.0,1500.0,0.0,1810.8700000000001,1.165917992591858,0.0,0.0,0.0,0.0,8.054272,0.0,-1.1375559568405151,0.0,-0.1499129682779312,0.0,-70.0,-9.155474662780762,18.0,8.219343257527234e-06,-0.7520090341567993,0.0,,,,,,,
0.8000240000000005,1500.0,20.993349075317383,90.0,0.0,0.0,0.0,0.0,0.0,0.0,8.135212,504.0,39.8421407,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,5.944451800754161e-06,0.0,-105.2126478,1500.0,0.0,0.0,-1.1037373528688225e-05,0.0,0.0,1500.0,0.0,1810.73,1.1403613090515137,0.0,0.0,0.0,0.0,8.154213,0.0,-1.2180434465408325,0.0,-0.18750767409801483,0.0,-69.0,-9.16999340057373,18.0,7.459748950708749e-06,-0.7520090341567993,0.0,,,,,,,
0.9000179999999993,1500.0,21.02523422241211,92.0,0.0,0.0,0.0,0.0,0.0,0.0,8.214224999999999,502.0,39.8421407,0.0,0.0,0.01064650843716541,0.0,0.0,0.0,0.0,0.0005235987755982988,-5.539129012671206e-06,0.0,-105.2126478,1500.0,0.0,0.0,-1.6095395517193772e-05,0.0,0.0,1500.0,0.0,1810.73,1.1676641702651978,0.0,0.0,0.0,0.0,8.254207,0.0,-1.207311749458313,0.0,-0.13109992444515228,0.0,-72.0,-9.14486312866211,18.0,1.9111482546150214e-05,-0.7631181478500366,0.0,,,,,,,
