time_index,tx_controls_7,global_position_latitude,velocity_z,wind_y,magnetometer_1,attitude_yaw,attitude_roll,servos_7,magnetometer_2,velocity_x,servos_2,acceleration_y,velocity_y,servos_1,servos_0,axis_rate_roll,mode_0,position_y,servos_6,acceleration_x,tx_controls_6,attitude_pitch,mode_2,magnetometer_0,axis_rate_yaw,time_flight,acceleration_z,position_z,global_position_longitude,tx_controls_3,servos_4,axis_rate_pitch,servos_5,time_actual,tx_controls_1,tx_controls_2,airspeed_0,tx_controls_5,wind_x,altitude_gps,mode_1,position_x,gps_sat_count_0,tx_controls_0,altitude_baro,servos_3,tx_controls_4,current_0,current_2,current_1,current_3,battery_0,rpm_0,rpm_1,airspeed_1,battery_1
0.0,0.0,51.4594338,0.0,0.0,-93.0,0.0,0.008028514559173916,0.0,367.0,0.0,0.0,0.011128232814371586,0.0,0.0,0.0,-0.00044788491855383197,1.0,0.0,0.0,1.714255452156067,0.0,-0.05305800926062762,3.0,-249.0,7.999683872911539e-05,8.764968999999999,-9.871808052062988,0.0,-2.7913018999999997,1500.0,0.0,7.260516067732487e-05,0.0,8.745491,1500.0,0.0,0.0,0.0,0.0,-2.44,1.0,0.0,18.0,1500.0,0.015445392578840256,0.0,0.0,,,,,,,,,
0.10000500000000123,0.0,51.4594338,0.0,0.0,-92.0,0.0,0.008028514559173916,0.0,369.0,0.0,0.0,0.04149523004889488,0.0,0.0,0.0,0.0003993826498587049,1.0,0.0,0.0,1.5799566507339478,0.0,-0.05305800926062762,3.0,-248.0,-5.833124547654197e-05,8.864974,-9.803133010864258,0.0,-2.7913018999999997,1500.0,0.0,3.15222730291991e-06,0.0,8.825066,1500.0,0.0,0.0,0.0,0.0,-2.44,1.0,0.0,18.0,1500.0,-0.005148464348167181,0.0,0.0,,,,,,,,,
0.19999000000000144,0.0,51.459433499999996,0.0,0.0,-93.0,0.0,0.008028514559173916,0.0,369.0,0.0,0.0,0.2516275644302368,0.0,0.0,0.0,-5.534224782993529e-05,1.0,0.0,0.0,1.6187658309936523,0.0,-0.05305800926062762,3.0,-249.0,7.053536728751905e-06,8.964959,-9.747851371765137,0.0,-2.7913023,1500.0,0.0,1.4241918947375593e-05,0.0,8.945466999999999,1500.0,0.0,0.0,0.0,0.0,-2.49,1.0,0.0,18.0,1500.0,-0.15445393323898315,0.0,0.0,,,,,,,,,
0.300021000000001,0.0,51.459433499999996,0.0,0.0,-94.0,0.0,0.008028514559173916,0.0,371.0,0.0,0.0,-0.008599517866969109,0.0,0.0,0.0,-2.3257615884166567e-05,1.0,0.0,0.0,1.5790791511535645,0.0,-0.05305800926062762,3.0,-253.0,1.959231527317601e-05,9.06499,-9.726232528686523,0.0,-2.7913023,1500.0,0.0,1.312949267384819e-05,0.0,9.02549,1500.0,0.0,0.0,0.0,0.0,-2.49,1.0,0.0,18.0,1500.0,-0.11326621472835541,0.0,0.0,,,,,,,,,
0.4000010000000014,0.0,51.4594332,0.0,0.0,-95.0,0.0,0.008028514559173916,0.0,369.0,0.0,0.0,0.012739422731101513,0.0,0.0,0.0,0.00015881502061641055,1.0,0.0,0.0,1.6200096607208252,0.0,-0.05305800926062762,3.0,-253.0,3.614389537959059e-06,9.16497,-9.722787857055664,0.0,-2.7913028,1500.0,0.0,9.338098683578134e-06,0.0,9.145502,1500.0,0.0,0.0,0.0,0.0,-2.54,1.0,0.0,17.0,1500.0,-0.0823754295706749,0.0,0.0,,,,,,,,,
0.5000210000000003,0.0,51.4594332,0.0,0.0,-94.0,0.0,0.008028514559173916,0.0,368.0,0.0,0.0,0.07620783150196075,0.0,0.0,0.0,-4.195206924985369e-05,1.0,0.0,0.0,1.6219686269760132,0.0,-0.05305800926062762,3.0,-253.0,1.720002159279575e-05,9.26499,-9.683027267456055,0.0,-2.7913028,1500.0,0.0,9.026462591572913e-06,0.0,9.225041,1500.0,0.0,0.0,0.0,0.0,-2.54,1.0,0.0,17.0,1500.0,-0.03603925183415413,0.0,0.0,,,,,,,,,
0.59999,0.0,51.459432799999995,0.0,0.0,-94.0,0.0,0.008028514559173916,0.0,370.0,0.0,0.0,-0.031691502779722214,0.0,0.0,0.0,1.2344665569950677e-05,1.0,0.0,0.0,1.6138321161270142,0.0,-0.05305800926062762,3.0,-253.0,-9.813808149580496e-07,9.364958999999999,-9.718707084655762,0.0,-2.7913033,1500.0,0.0,1.0291728247347085e-05,0.0,9.345479,1500.0,0.0,0.0,0.0,0.0,-2.62,1.0,0.0,18.0,1500.0,-0.07207850366830826,0.0,0.0,,,,,,,,,
0.7000090000000014,0.0,51.459432799999995,0.0,0.0,-95.0,0.0,0.008028514559173916,0.0,369.0,0.0,0.0,-0.008052040822803974,0.0,0.0,0.0,4.2732113424364265e-05,1.0,0.0,0.0,1.619558334350586,0.0,-0.05305800926062762,3.0,-254.0,-3.2877039301922104e-06,9.464978,-9.699630737304688,0.0,-2.7913033,1500.0,0.0,2.671936312745342e-06,0.0,9.425089,1500.0,0.0,0.0,0.0,0.0,-2.62,1.0,0.0,18.0,1500.0,-0.09267235547304153,0.0,0.0,,,,,,,,,
0.8000129999999999,0.0,51.4594326,0.0,0.0,-94.0,0.0,0.008028514559173916,0.0,366.0,0.0,0.0,0.012513397261500359,0.0,0.0,0.0,-2.8797310634688736e-07,1.0,0.0,0.0,1.6310468912124634,0.0,-0.05305800926062762,3.0,-249.0,5.2441254864949855e-06,9.564981999999999,-9.699760437011719,0.0,-2.7913037,1500.0,0.0,-6.252874044603992e-06,0.0,9.545981,1500.0,0.0,0.0,0.0,0.0,-2.69,1.0,0.0,18.0,1500.0,-0.13386006653308868,0.0,0.0,,,,,,,,,
0.9000240000000002,0.0,51.4594326,0.0,0.0,-93.0,0.0,0.008028514559173916,0.0,364.0,0.0,0.0,0.006434064358472824,0.0,0.0,0.0,8.262106181631813e-05,1.0,0.0,0.0,1.6177045106887817,0.0,-0.05305800926062762,3.0,-248.0,-2.1449416628901704e-06,9.664992999999999,-9.69369125366211,0.0,-2.7913037,1500.0,0.0,1.8549159186617238e-05,0.0,9.625537,1500.0,0.0,0.0,0.0,0.0,-2.69,1.0,0.0,18.0,1500.0,-0.1390085369348526,0.0,0.0,,,,,,,,,
