time_index,servos_1,attitude_roll,position_x,servos_7,position_z,magnetometer_1,global_position_longitude,axis_rate_yaw,velocity_z,magnetometer_0,servos_3,servos_5,acceleration_y,tx_controls_4,time_flight,altitude_gps,tx_controls_6,position_y,global_position_latitude,attitude_pitch,battery_0,tx_controls_2,gps_sat_count_0,servos_6,mode_2,tx_controls_3,servos_4,axis_rate_pitch,time_actual,attitude_yaw,altitude_baro,magnetometer_2,tx_controls_1,velocity_y,tx_controls_0,mode_1,mode_0,velocity_x,servos_2,wind_y,acceleration_z,airspeed_0,acceleration_x,axis_rate_roll,servos_0,tx_controls_5,wind_x,tx_controls_7,current_0,rpm_1,current_3,airspeed_1,current_1,rpm_0,current_2,battery_1
0.0,0.0,0.0005235987755982988,0.0,0.0,0.0,-71.0,-105.21264869999999,5.915665636615515e-05,0.0,88.0,0.0,0.0,-0.15467819571495056,0.0,7.354189,1811.3400000000001,0.0,0.0,39.8421441,0.01064650843716541,20.997539520263672,0.0,18.0,0.0,0.0,1500.0,0.0,-7.161926767441608e-06,7.335192999999999,0.0,-1.2341408729553223,498.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.16388988494873,0.0,1.142864465713501,-9.857953124903849e-05,0.0,0.0,0.0,0.0,-0.7506400942802429,,,,,,,
0.1000160000000001,0.0,0.0005235987755982988,0.0,0.0,0.0,-72.0,-105.21264869999999,-4.2743926487854345e-05,0.0,89.0,0.0,0.0,-0.2099970579147339,0.0,7.454205,1811.3400000000001,0.0,0.0,39.8421441,0.01064650843716541,20.997539520263672,0.0,18.0,0.0,0.0,1500.0,0.0,9.357427488700452e-06,7.414726,0.0,-1.2448725700378418,503.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.162053108215332,0.0,1.1548006534576416,0.0001266190951459309,0.0,0.0,0.0,0.0,-0.7506400942802429,,,,,,,
0.20001399999999947,0.0,0.0005235987755982988,0.0,0.0,0.0,-72.0,-105.2126481,2.427375522632187e-06,0.0,90.0,0.0,0.0,-0.0949307456612587,0.0,7.554202999999999,1811.21,0.0,0.0,39.8421429,0.01064650843716541,20.992650985717773,0.0,18.0,0.0,0.0,1500.0,0.0,2.540300556571851e-05,7.535698999999999,0.0,-1.2770675420761108,505.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.152517318725586,0.0,1.155683994293213,-7.578922625881782e-05,0.0,0.0,0.0,0.0,-0.7494221329689026,,,,,,,
0.3001269999999998,0.0,0.0005235987755982988,0.0,0.0,0.0,-73.0,-105.2126481,8.152647527001395e-08,0.0,88.0,0.0,0.0,-0.22636684775352478,0.0,7.654316,1811.21,0.0,0.0,39.8421429,0.01064650843716541,20.996490478515625,0.0,18.0,0.0,0.0,1500.0,0.0,7.353726502702193e-06,7.6146959999999995,0.0,-1.3038966655731201,501.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.172419548034668,0.0,1.1414697170257568,-3.602047690538242e-05,0.0,0.0,0.0,0.0,-0.7506400942802429,,,,,,,
0.4000159999999999,0.0,0.0005235987755982988,0.0,0.0,0.0,-72.0,-105.2126481,-2.437938349917929e-05,0.0,89.0,0.0,0.0,-0.1247437372803688,0.0,7.754205,1811.05,0.0,0.0,39.8421421,0.01064650843716541,20.993349075317383,0.0,18.0,0.0,0.0,1500.0,0.0,1.1793874881275927e-05,7.735208,0.0,-1.2502384185791016,501.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.139350891113281,0.0,1.2042014598846436,3.7516619479694265e-05,0.0,0.0,0.0,0.0,-0.7561178803443909,,,,,,,
0.5000330000000002,0.0,0.0005235987755982988,0.0,0.0,0.0,-71.0,-105.2126481,3.281201106942568e-05,0.0,88.0,0.0,0.0,-0.2176114320755005,0.0,7.854222,1811.05,0.0,0.0,39.8421421,0.01064650843716541,20.988113403320312,0.0,18.0,0.0,0.0,1500.0,0.0,-6.687132514164703e-07,7.814207,0.0,-1.1965800523757935,502.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.187713623046875,0.0,1.1362907886505127,-6.286993256282301e-05,0.0,0.0,0.0,0.0,-0.7533794641494751,,,,,,,
0.600009,0.0,0.0005235987755982988,0.0,0.0,0.0,-72.0,-105.2126481,-1.6486172429541346e-05,0.0,91.0,0.0,0.0,-0.18208357691764832,0.0,7.954198,1810.8700000000001,0.0,0.0,39.842141399999996,0.01064650843716541,20.992650985717773,0.0,18.0,0.0,0.0,1500.0,0.0,1.6666405968737728e-05,7.935185,0.0,-1.207311749458313,503.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.166854858398438,0.0,1.1648424863815308,9.69649329469193e-05,0.0,0.0,0.0,0.0,-0.7509440779685974,,,,,,,
0.7000829999999993,0.0,0.0005235987755982988,0.0,0.0,0.0,-70.0,-105.2126481,1.011255024418151e-05,0.0,91.0,0.0,0.0,-0.1499129682779312,0.0,8.054272,1810.8700000000001,0.0,0.0,39.842141399999996,0.01064650843716541,20.99230194091797,0.0,18.0,0.0,0.0,1500.0,0.0,8.219343257527234e-06,8.014268999999999,0.0,-1.1375559568405151,498.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.155474662780762,0.0,1.165917992591858,-5.2652790787381226e-05,0.0,0.0,0.0,0.0,-0.7520090341567993,,,,,,,
0.8000240000000005,0.0,0.0005235987755982988,0.0,0.0,0.0,-69.0,-105.2126478,-1.1037373528688225e-05,0.0,90.0,0.0,0.0,-0.18750767409801483,0.0,8.154213,1810.73,0.0,0.0,39.8421407,0.01064650843716541,20.993349075317383,0.0,18.0,0.0,0.0,1500.0,0.0,7.459748950708749e-06,8.135212,0.0,-1.2180434465408325,504.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.16999340057373,0.0,1.1403613090515137,5.944451800754161e-06,0.0,0.0,0.0,0.0,-0.7520090341567993,,,,,,,
0.9000179999999993,0.0,0.0005235987755982988,0.0,0.0,0.0,-72.0,-105.2126478,-1.6095395517193772e-05,0.0,92.0,0.0,0.0,-0.13109992444515228,0.0,8.254207,1810.73,0.0,0.0,39.8421407,0.01064650843716541,21.02523422241211,0.0,18.0,0.0,0.0,1500.0,0.0,1.9111482546150214e-05,8.214224999999999,0.0,-1.207311749458313,502.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,-9.14486312866211,0.0,1.1676641702651978,-5.539129012671206e-06,0.0,0.0,0.0,0.0,-0.7631181478500366,,,,,,,
